completion_rate,dtp2_rate,cost_total,cost_per_child,rate_poorest,rate_richest,equity_gap
1.0,1.0,4451950,445.195,1.0,1.0,0.0
1.0,1.0,4476700,447.67,1.0,1.0,0.0
1.0,1.0,4458700,445.87,1.0,1.0,0.0
1.0,1.0,4536100,453.61,1.0,1.0,0.0
1.0,1.0,4483000,448.3,1.0,1.0,0.0
1.0,1.0,4488400,448.84,1.0,1.0,0.0
1.0,1.0,4460950,446.095,1.0,1.0,0.0
1.0,1.0,4481200,448.12,1.0,1.0,0.0
1.0,1.0,4419550,441.955,1.0,1.0,0.0
1.0,1.0,4456000,445.6,1.0,1.0,0.0
1.0,1.0,4496050,449.605,1.0,1.0,0.0
1.0,1.0,4484350,448.435,1.0,1.0,0.0
1.0,1.0,4477150,447.715,1.0,1.0,0.0
1.0,1.0,4483450,448.345,1.0,1.0,0.0
1.0,1.0,4469500,446.95,1.0,1.0,0.0
1.0,1.0,4454200,445.42,1.0,1.0,0.0
1.0,1.0,4515400,451.54,1.0,1.0,0.0
1.0,1.0,4420450,442.045,1.0,1.0,0.0
1.0,1.0,4451500,445.15,1.0,1.0,0.0
1.0,1.0,4410100,441.01,1.0,1.0,0.0
1.0,1.0,4469950,446.995,1.0,1.0,0.0
1.0,1.0,4470850,447.085,1.0,1.0,0.0
1.0,1.0,4437550,443.755,1.0,1.0,0.0
1.0,1.0,4429900,442.99,1.0,1.0,0.0
1.0,1.0,4447000,444.7,1.0,1.0,0.0
1.0,1.0,4398850,439.885,1.0,1.0,0.0
1.0,1.0,4447900,444.79,1.0,1.0,0.0
1.0,1.0,4433050,443.305,1.0,1.0,0.0
1.0,1.0,4451950,445.195,1.0,1.0,0.0
1.0,1.0,4497850,449.785,1.0,1.0,0.0
1.0,1.0,4443400,444.34,1.0,1.0,0.0
1.0,1.0,4463200,446.32,1.0,1.0,0.0
1.0,1.0,4450150,445.015,1.0,1.0,0.0
1.0,1.0,4435300,443.53,1.0,1.0,0.0
1.0,1.0,4483450,448.345,1.0,1.0,0.0
1.0,1.0,4453300,445.33,1.0,1.0,0.0
1.0,1.0,4398850,439.885,1.0,1.0,0.0
1.0,1.0,4493800,449.38,1.0,1.0,0.0
1.0,1.0,4492450,449.245,1.0,1.0,0.0
1.0,1.0,4467700,446.77,1.0,1.0,0.0
1.0,1.0,4441150,444.115,1.0,1.0,0.0
1.0,1.0,4481650,448.165,1.0,1.0,0.0
1.0,1.0,4391200,439.12,1.0,1.0,0.0
1.0,1.0,4476700,447.67,1.0,1.0,0.0
1.0,1.0,4496500,449.65,1.0,1.0,0.0
1.0,1.0,4462750,446.275,1.0,1.0,0.0
1.0,1.0,4452850,445.285,1.0,1.0,0.0
1.0,1.0,4471300,447.13,1.0,1.0,0.0
1.0,1.0,4435750,443.575,1.0,1.0,0.0
1.0,1.0,4514050,451.405,1.0,1.0,0.0
1.0,1.0,4402900,440.29,1.0,1.0,0.0
1.0,1.0,4420450,442.045,1.0,1.0,0.0
1.0,1.0,4463200,446.32,1.0,1.0,0.0
1.0,1.0,4385800,438.58,1.0,1.0,0.0
1.0,1.0,4429900,442.99,1.0,1.0,0.0
1.0,1.0,4376800,437.68,1.0,1.0,0.0
1.0,1.0,4462750,446.275,1.0,1.0,0.0
1.0,1.0,4464550,446.455,1.0,1.0,0.0
1.0,1.0,4431250,443.125,1.0,1.0,0.0
1.0,1.0,4458250,445.825,1.0,1.0,0.0
1.0,1.0,4429450,442.945,1.0,1.0,0.0
1.0,1.0,4500100,450.01,1.0,1.0,0.0
1.0,1.0,4455100,445.51,1.0,1.0,0.0
1.0,1.0,4415500,441.55,1.0,1.0,0.0
1.0,1.0,4519900,451.99,1.0,1.0,0.0
1.0,1.0,4503700,450.37,1.0,1.0,0.0
1.0,1.0,4451500,445.15,1.0,1.0,0.0
1.0,1.0,4456900,445.69,1.0,1.0,0.0
1.0,1.0,4455100,445.51,1.0,1.0,0.0
1.0,1.0,4463650,446.365,1.0,1.0,0.0
1.0,1.0,4446100,444.61,1.0,1.0,0.0
1.0,1.0,4518100,451.81,1.0,1.0,0.0
1.0,1.0,4441150,444.115,1.0,1.0,0.0
1.0,1.0,4500550,450.055,1.0,1.0,0.0
1.0,1.0,4505950,450.595,1.0,1.0,0.0
1.0,1.0,4494250,449.425,1.0,1.0,0.0
1.0,1.0,4488400,448.84,1.0,1.0,0.0
1.0,1.0,4459150,445.915,1.0,1.0,0.0
1.0,1.0,4498300,449.83,1.0,1.0,0.0
1.0,1.0,4469050,446.905,1.0,1.0,0.0
1.0,1.0,4420900,442.09,1.0,1.0,0.0
1.0,1.0,4525300,452.53,1.0,1.0,0.0
1.0,1.0,4417750,441.775,1.0,1.0,0.0
1.0,1.0,4517650,451.765,1.0,1.0,0.0
1.0,1.0,4478950,447.895,1.0,1.0,0.0
1.0,1.0,4461850,446.185,1.0,1.0,0.0
1.0,1.0,4481200,448.12,1.0,1.0,0.0
1.0,1.0,4425850,442.585,1.0,1.0,0.0
1.0,1.0,4438900,443.89,1.0,1.0,0.0
1.0,1.0,4490650,449.065,1.0,1.0,0.0
1.0,1.0,4466800,446.68,1.0,1.0,0.0
1.0,1.0,4473550,447.355,1.0,1.0,0.0
1.0,1.0,4511350,451.135,1.0,1.0,0.0
1.0,1.0,4443400,444.34,1.0,1.0,0.0
1.0,1.0,4450600,445.06,1.0,1.0,0.0
1.0,1.0,4406050,440.605,1.0,1.0,0.0
1.0,1.0,4466800,446.68,1.0,1.0,0.0
1.0,1.0,4442500,444.25,1.0,1.0,0.0
1.0,1.0,4439350,443.935,1.0,1.0,0.0
1.0,1.0,4437100,443.71,1.0,1.0,0.0
1.0,1.0,4492450,449.245,1.0,1.0,0.0
1.0,1.0,4507300,450.73,1.0,1.0,0.0
1.0,1.0,4417300,441.73,1.0,1.0,0.0
1.0,1.0,4412800,441.28,1.0,1.0,0.0
1.0,1.0,4457350,445.735,1.0,1.0,0.0
1.0,1.0,4485700,448.57,1.0,1.0,0.0
1.0,1.0,4443400,444.34,1.0,1.0,0.0
1.0,1.0,4482100,448.21,1.0,1.0,0.0
1.0,1.0,4473550,447.355,1.0,1.0,0.0
1.0,1.0,4498750,449.875,1.0,1.0,0.0
1.0,1.0,4427650,442.765,1.0,1.0,0.0
1.0,1.0,4461850,446.185,1.0,1.0,0.0
1.0,1.0,4409650,440.965,1.0,1.0,0.0
1.0,1.0,4404700,440.47,1.0,1.0,0.0
1.0,1.0,4475350,447.535,1.0,1.0,0.0
1.0,1.0,4487950,448.795,1.0,1.0,0.0
1.0,1.0,4470400,447.04,1.0,1.0,0.0
1.0,1.0,4438900,443.89,1.0,1.0,0.0
1.0,1.0,4429450,442.945,1.0,1.0,0.0
1.0,1.0,4456900,445.69,1.0,1.0,0.0
1.0,1.0,4442050,444.205,1.0,1.0,0.0
1.0,1.0,4509550,450.955,1.0,1.0,0.0
1.0,1.0,4431700,443.17,1.0,1.0,0.0
1.0,1.0,4437100,443.71,1.0,1.0,0.0
1.0,1.0,4460050,446.005,1.0,1.0,0.0
1.0,1.0,4492000,449.2,1.0,1.0,0.0
1.0,1.0,4466800,446.68,1.0,1.0,0.0
1.0,1.0,4451500,445.15,1.0,1.0,0.0
1.0,1.0,4531600,453.16,1.0,1.0,0.0
1.0,1.0,4453750,445.375,1.0,1.0,0.0
1.0,1.0,4420450,442.045,1.0,1.0,0.0
1.0,1.0,4506400,450.64,1.0,1.0,0.0
1.0,1.0,4405600,440.56,1.0,1.0,0.0
