child_id,dose_step,optimal_action,q_a0,q_a1,q_a2,q_a3,q_a4,q_max,q_advantage,behaviour_action,weight
599_30_2,1,0,1.3244830892561803,1.1687521342134137,1.1699310960381506,1.167034088843321,1.1948186957536169,1.3244830892561803,0.15573095504276657,1,0.3336000144481659
600_20_3,0,2,1.1052238018795117,1.6062242184912758,1.6295539139190842,1.167034088843321,1.1747043621490134,1.6295539139190842,0.023329695427808383,1,0.8867650032043457
600_20_3,1,2,1.1368192831690647,1.163946180285831,1.1703192462939023,1.167034088843321,0.866323296486741,1.1703192462939023,0.033499963124837606,0,0.8867650032043457
600_38_2,0,2,0.8295329403041294,1.5827953084826234,1.603884158427603,1.167034088843321,1.3411615266920174,1.603884158427603,0.7743512181234735,0,0.8867650032043457
600_38_2,1,2,0.5355582968203974,1.1634953126921432,1.1673414924514667,1.167034088843321,0.7070471291721422,1.1673414924514667,0.6317831956310693,0,0.8867650032043457
601_20_2,0,2,0.17771160468859015,1.5745953831200954,1.6082543327104122,1.167034088843321,1.415545611960775,1.6082543327104122,0.03365894959031679,1,0.5935559868812561
601_20_2,1,2,0.15996529338697085,1.164911289108207,1.1678443520961126,1.167034088843321,0.36370963364140224,1.1678443520961126,1.0078790587091417,0,0.5935559868812561
601_26_2,0,2,0.29208936148577425,1.5774669164233555,1.595564718418376,1.167034088843321,1.2342651182660684,1.595564718418376,0.018097801995020646,1,0.5935559868812561
601_26_2,1,2,0.19288513189828527,1.1666824112375813,1.1685754928826901,1.167034088843321,0.18643030706446545,1.1685754928826901,0.9756903609844049,0,0.5935559868812561
601_28_2,0,2,0.18257960532186088,1.5765287968158233,1.5842580005051639,1.167034088843321,0.9050703447285046,1.5842580005051639,0.007729203689340602,1,0.5935559868812561
601_28_2,1,2,0.13898220542171158,1.164297453188313,1.1684821314112723,1.167034088843321,0.04280682067379537,1.1684821314112723,0.004184678222959315,1,0.5935559868812561
601_31_3,0,1,1.374062447440048,1.5834689330546121,1.5760269082740574,1.167034088843321,1.4050005785317268,1.5834689330546121,0.2094064856145641,0,0.5935559868812561
601_31_3,1,2,0.3193210486582535,1.164284599919858,1.1704805288482063,1.167034088843321,0.4123100688151035,1.1704805288482063,0.8511594801899528,0,0.5935559868812561
601_36_2,0,1,0.9427766485152582,1.572859787303256,1.5695758977273004,1.167034088843321,1.4764080259649657,1.572859787303256,0.0,1,0.5935559868812561
601_36_2,1,1,0.4373334358266309,1.167268974083241,1.1671687238628194,1.167034088843321,1.1496729636601442,1.167268974083241,0.0,1,0.5935559868812561
601_37_2,0,1,0.26854511953293797,1.578693336613113,1.5635418806025996,1.167034088843321,0.7588223983888861,1.578693336613113,1.310148217080175,0,0.5935559868812561
603_17_2,0,2,1.362482814325874,1.588208666829142,1.6479381027241016,1.167034088843321,1.5829809430739092,1.6479381027241016,0.0,2,1.0876450538635254
603_17_2,1,2,0.7881651446798352,1.1674113568953923,1.1716601492509613,1.167034088843321,1.1174044235515102,1.1716601492509613,0.0,2,1.0876450538635254
603_28_3,0,2,1.5664884230024398,1.576598144037299,1.6139520244017491,1.167034088843321,1.6027751739672487,1.6139520244017491,0.0373538803644502,1,1.0876450538635254
603_28_3,1,2,1.1432675903945657,1.1637611309061127,1.1692474079420947,1.167034088843321,1.1236982624597767,1.1692474079420947,0.025979817547528983,0,1.0876450538635254
603_40_2,0,2,1.1791130478389948,1.5805885839374263,1.6141060727102088,1.167034088843321,1.4198304473100454,1.6141060727102088,0.03351748877278249,1,1.0876450538635254
603_40_2,1,2,0.42823515832543146,1.1684057221832027,1.169349819031391,1.167034088843321,0.7594246188643369,1.169349819031391,0.0009440968481881917,1,1.0876450538635254
603_50_2,0,2,1.3726449727474863,1.5910065753638882,1.6094568976907921,1.167034088843321,1.4364249500747965,1.6094568976907921,0.23681192494330583,0,1.0876450538635254
603_50_2,1,1,0.02604420263622941,1.1783419783587157,1.1692341373857442,1.167034088843321,0.3630829793939958,1.1783419783587157,0.0,1,1.0876450538635254
603_61_2,0,2,1.6092095130440691,1.6065756771287805,1.612100516871852,1.167034088843321,1.4208826566471902,1.612100516871852,0.0028910038277829564,0,1.0876450538635254
603_61_2,1,1,0.6721880591768198,1.169888777742792,1.1697347361120798,1.167034088843321,0.7701508433696359,1.169888777742792,0.00015404163071219834,2,1.0876450538635254
603_61_3,0,1,1.4729359733946035,1.6000933791263612,1.5960187519579143,1.167034088843321,1.2604622460304147,1.6000933791263612,0.1271574057317577,0,1.0876450538635254
603_61_3,1,1,0.3189587924906983,1.171147053675863,1.1694259810592231,1.167034088843321,0.4640937390198373,1.171147053675863,0.8521882611851648,0,1.0876450538635254
604_19_3,0,0,1.6917754861987448,1.5884882746022317,1.6231708273103147,1.167034088843321,1.5628023426699158,1.6917754861987448,0.1032872115965131,1,0.844880998134613
604_19_3,1,0,1.3138894814007773,1.1673153562467649,1.165583907752046,1.167034088843321,1.1486258283985313,1.3138894814007773,0.14657412515401247,1,0.844880998134613
604_23_1,0,2,1.5571909343325236,1.5871653780588435,1.6339460539532884,1.167034088843321,1.5989432634563308,1.6339460539532884,0.0467806758944449,1,0.844880998134613
604_23_1,1,4,1.1340150064853265,1.1650514030005434,1.158731028612252,1.167034088843321,1.1710145511774892,1.1710145511774892,0.005963148176945765,1,0.844880998134613
604_42_3,0,0,1.891133810852727,1.5945031028855934,1.6155801572884285,1.167034088843321,1.4991256748578805,1.891133810852727,0.0,0,0.844880998134613
604_48_2,0,2,1.4078331809550513,1.5919458592728357,1.6095022145312405,1.167034088843321,1.5654794952757332,1.6095022145312405,0.01755635525840482,1,0.844880998134613
604_48_2,1,3,1.137749182337916,1.1651878386295396,1.159006438217296,1.167034088843321,1.1366591252301854,1.167034088843321,0.008027650626025062,2,0.844880998134613
604_53_2,0,2,0.9194098043694509,1.591294469072182,1.6127251092999475,1.167034088843321,1.598678781681839,1.6127251092999475,0.02143064022776553,1,0.844880998134613
604_53_2,1,3,0.7128374614128571,1.1660553030026222,1.1595434483348148,1.167034088843321,1.1344982383030169,1.167034088843321,0.0009787858406988814,1,0.844880998134613
605_32_2,0,4,1.0028139305436314,1.5861484828766348,1.5839387757651224,1.167034088843321,1.5883534225532199,1.5883534225532199,0.0022049396765850826,1,0.6610689759254456
605_32_2,1,3,0.7855195021311477,1.1667355829397201,1.1647789886206514,1.167034088843321,1.1518544934350614,1.167034088843321,0.0002985059036009208,1,0.6610689759254456
605_33_2,0,2,1.1033084922043217,1.5848164792626467,1.5925481361679383,1.167034088843321,1.5653419198229939,1.5925481361679383,0.007731656905291651,1,0.6610689759254456
605_33_2,1,3,0.8183768222410872,1.1668059199434642,1.1659037667308196,1.167034088843321,1.1211788637884865,1.167034088843321,0.00022816889985688427,1,0.6610689759254456
606_1_2,0,1,1.3616266770321204,1.5946081009900657,1.5811467267498756,1.167034088843321,1.4431185290066393,1.5946081009900657,0.013461374240190116,2,1.8466260433197021
606_1_2,1,1,0.9788428014058059,1.1699251115654592,1.166611038917833,1.167034088843321,1.0151400739447638,1.1699251115654592,0.003314072647626176,2,1.8466260433197021
606_3_2,0,1,0.4244134678433194,1.575291681780022,1.571034927619871,1.167034088843321,1.5231395353972892,1.575291681780022,0.0,1,1.8466260433197021
606_3_2,1,2,0.17200716246027384,1.167344140226014,1.1676559385866092,1.167034088843321,0.4641574266614594,1.1676559385866092,0.9956487761263354,0,1.8466260433197021
