,,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout,Grouped by vac_dropout
,,Missing,Overall,0,1,P-Value,Test
n,,,3194,2722,472,,
"m74, n (%)",None,,1341 (42.0),1117 (41.0),224 (47.5),,
"v393, n (%)",0,,2719 (85.1),2318 (85.2),401 (85.0),0.966,Chi-squared
"v393, n (%)",1,,475 (14.9),404 (14.8),71 (15.0),,
"h69, n (%)",11.0,,34 (1.1),30 (1.1),4 (0.8),<0.001,Chi-squared (warning: expected count < 5)
"h69, n (%)",12.0,,39 (1.2),37 (1.4),2 (0.4),,
"h69, n (%)",13.0,,416 (13.0),347 (12.7),69 (14.6),,
"h69, n (%)",14.0,,1819 (57.0),1564 (57.5),255 (54.0),,
"h69, n (%)",15.0,,446 (14.0),381 (14.0),65 (13.8),,
"h69, n (%)",16.0,,100 (3.1),90 (3.3),10 (2.1),,
"h69, n (%)",21.0,,174 (5.4),155 (5.7),19 (4.0),,
"h69, n (%)",22.0,,37 (1.2),27 (1.0),10 (2.1),,
"h69, n (%)",23.0,,2 (0.1),1 (0.0),1 (0.2),,
"h69, n (%)",24.0,,1 (0.0),1 (0.0),0 (0.0),,
"h69, n (%)",25.0,,2 (0.1),2 (0.1),0 (0.0),,
"h69, n (%)",26.0,,8 (0.3),3 (0.1),5 (1.1),,
"h69, n (%)",27.0,,59 (1.8),46 (1.7),13 (2.8),,
"h69, n (%)",31.0,,8 (0.3),8 (0.3),0 (0.0),,
"h69, n (%)",32.0,,2 (0.1),2 (0.1),0 (0.0),,
"h69, n (%)",36.0,,10 (0.3),4 (0.1),6 (1.3),,
"h69, n (%)",41.0,,37 (1.2),24 (0.9),13 (2.8),,
"contact_count, mean (SD)",,0,6.7 (5.5),7.0 (5.5),5.0 (4.6),<0.001,Welch’s T-test
"h11, n (%)",0.0,,2537 (79.4),2160 (79.4),377 (79.9),0.632,Chi-squared (warning: expected count < 5)
"h11, n (%)",2.0,,654 (20.5),560 (20.6),94 (19.9),,
"h11, n (%)",8.0,,3 (0.1),2 (0.1),1 (0.2),,
"h22, n (%)",0.0,,2504 (78.4),2124 (78.0),380 (80.5),0.165,Chi-squared (warning: expected count < 5)
"h22, n (%)",1.0,,688 (21.5),597 (21.9),91 (19.3),,
"h22, n (%)",8.0,,2 (0.1),1 (0.0),1 (0.2),,
"zone_label, n (%)",North Central,,541 (16.9),430 (15.8),111 (23.5),<0.001,Chi-squared
"zone_label, n (%)",North East,,659 (20.6),549 (20.2),110 (23.3),,
"zone_label, n (%)",North West,,635 (19.9),550 (20.2),85 (18.0),,
"zone_label, n (%)",South East,,505 (15.8),439 (16.1),66 (14.0),,
"zone_label, n (%)",South South,,454 (14.2),409 (15.0),45 (9.5),,
"zone_label, n (%)",South West,,400 (12.5),345 (12.7),55 (11.7),,
